,1,2,3,4,5,6,B
440,36,44,10,22,28,34,2
441,34,35,28,1,30,23,9
442,27,25,29,36,38,40,41
443,44,19,6,10,20,4,14
444,23,43,13,45,11,35,17
445,45,21,30,20,13,39,32
446,14,1,35,12,11,26,6
447,33,8,17,2,9,7,34
448,27,41,13,7,40,3,36
449,26,35,3,43,10,20,36
450,23,19,14,6,31,21,13
451,24,20,12,30,15,38,29
452,34,8,10,32,30,18,27
453,40,38,12,33,42,24,30
454,41,38,27,13,25,34,10
455,25,19,26,4,30,35,24
456,27,1,23,18,12,7,44
457,23,40,18,8,27,10,33
458,4,40,10,32,9,36,18
459,40,25,14,6,4,10,12
460,8,43,30,28,11,45,41
461,31,11,18,26,40,37,43
462,32,20,24,3,45,37,4
463,44,29,34,31,23,33,40
464,34,12,15,42,44,6,4
465,8,38,11,1,13,22,31
466,44,23,13,4,32,10,20
467,12,40,24,2,14,17,39
468,8,13,43,28,37,15,17
469,4,38,37,34,21,22,33
470,41,39,20,16,10,42,27
471,39,6,41,29,37,13,43
472,36,26,16,31,25,43,44
473,13,23,20,22,36,8,34
474,31,33,45,13,18,4,43
475,14,1,16,21,9,29,3
476,13,37,9,15,12,38,27
477,25,29,14,33,32,45,37
478,18,39,43,29,30,37,8
479,23,27,25,35,8,44,24
480,31,5,3,30,10,17,16
481,23,41,40,3,4,29,20
482,25,10,16,24,35,1,43
483,28,12,15,22,34,19,5
484,45,1,28,3,32,27,11
485,36,26,39,22,27,17,20
486,2,1,25,40,38,23,43
487,4,8,37,27,41,25,21
488,8,31,38,17,2,30,25
489,20,8,4,15,2,27,11
490,43,2,7,26,29,40,42
491,39,42,17,36,35,8,4
492,37,40,31,27,35,22,42
493,20,22,33,26,36,37,25
494,43,15,30,5,7,8,22
495,27,13,44,22,34,4,6
496,20,4,29,13,41,36,39
497,44,19,23,24,20,43,13
498,24,41,13,32,39,14,3
499,27,35,20,5,40,23,43
500,3,20,4,34,12,24,41
501,1,42,10,31,17,4,2
502,34,40,32,6,28,22,26
503,5,1,27,34,36,30,40
504,26,22,43,6,14,44,31
505,22,40,20,25,7,38,44
506,11,9,24,30,6,22,31
507,12,40,33,41,32,13,4
508,35,5,27,31,34,43,37
509,35,29,25,43,42,12,24
510,33,32,29,40,12,39,42
511,23,3,14,7,42,26,24
512,26,9,4,27,5,13,1
513,33,5,27,23,21,8,12
514,35,20,26,42,1,15,9
515,11,2,15,12,37,23,8
516,23,8,44,2,43,41,30
517,12,9,36,1,28,41,10
518,32,23,34,38,30,14,6
519,6,43,30,13,8,16,3
520,40,22,28,4,38,27,1
521,36,32,18,7,3,29,19
522,37,41,14,13,4,5,11
523,37,40,1,38,4,45,7
524,41,29,11,45,10,38,21
525,23,44,39,11,29,26,22
526,39,35,7,20,17,14,31
527,42,1,32,12,33,22,38
528,25,39,40,5,17,31,10
529,42,31,20,27,24,18,39
530,29,27,16,23,41,33,22
531,1,35,21,5,9,27,45
532,16,29,24,44,17,23,3
533,33,14,9,15,31,17,23
534,10,37,38,26,29,24,32
535,11,18,12,14,15,39,34
536,37,8,32,7,18,43,12
537,43,36,12,26,23,30,11
538,32,10,6,34,31,18,11
539,3,31,42,22,43,19,26
540,34,13,15,36,12,3,14
541,13,28,8,32,26,34,43
542,19,5,41,26,45,6,34
543,26,34,13,18,31,44,12
544,44,5,36,17,25,21,10
545,24,27,35,34,25,4,2
546,8,37,17,20,27,43,6
547,15,6,34,39,22,7,28
548,1,12,32,13,21,45,14
549,44,29,31,38,35,40,17
550,1,7,20,34,14,37,41
551,20,3,6,27,44,24,25
552,10,35,40,20,1,32,43
553,39,7,29,2,28,17,37
554,13,32,41,17,42,14,6
555,36,17,21,24,26,11,12
556,30,28,44,12,20,23,43
557,40,28,20,26,35,4,31
558,43,12,15,26,40,19,29
559,45,25,32,12,11,44,23
560,23,20,29,4,1,45,28
561,37,45,5,18,42,7,20
562,31,17,13,11,20,4,33
563,31,17,10,16,32,5,21
564,25,27,14,26,34,19,2
565,18,45,27,10,4,40,38
566,25,26,5,43,4,6,41
567,10,15,32,16,1,41,28
568,31,17,44,20,1,3,40
569,3,13,35,24,6,23,1
570,29,12,1,33,27,26,42
571,26,43,21,38,18,11,29
572,45,18,3,37,33,13,1
573,35,4,2,43,20,34,14
574,43,15,16,25,14,19,2
575,33,34,8,20,2,30,6
576,35,15,41,10,25,11,13
577,37,17,31,16,22,34,33
578,5,34,14,42,32,12,16
579,42,20,5,7,22,37,39
580,7,32,35,5,9,11,33
581,42,20,44,3,14,5,33
582,12,40,41,33,14,2,25
583,40,33,17,27,44,8,24
584,41,40,39,30,18,7,36
585,38,16,10,7,6,41,4
586,7,34,21,12,15,2,5
587,31,29,14,21,37,32,17
588,2,22,15,8,25,41,30
589,8,6,33,38,39,28,22
590,45,36,20,41,30,38,23
591,39,14,8,30,13,38,5
592,44,13,5,2,28,6,43
593,13,9,10,24,33,38,28
594,25,37,2,13,28,8,3
595,40,24,38,8,28,35,5
596,14,43,12,25,3,4,17
597,24,8,35,43,10,23,37
598,45,4,12,38,33,24,22
599,29,35,12,34,17,5,27
600,11,27,5,29,14,36,44
601,16,35,34,31,2,19,37
602,27,30,22,13,14,38,2
603,43,26,19,25,27,2,28
604,34,21,2,33,6,18,30
605,7,38,1,10,2,9,42
606,1,14,39,6,5,20,22
607,14,38,8,36,23,39,13
608,19,8,4,18,44,39,41
609,4,40,39,34,27,8,13
610,14,18,20,28,23,36,33
611,37,22,33,36,27,2,14
612,19,33,6,9,18,25,40
613,8,16,41,44,11,7,35
614,21,8,40,25,39,44,18
615,17,27,18,10,19,23,35
616,40,18,5,13,23,45,3
617,11,12,5,27,4,24,28
618,8,16,30,43,25,42,15
619,35,30,8,13,40,6,21
620,2,32,45,16,17,39,40
621,1,19,2,6,42,16,9
622,16,15,34,28,9,21,24
623,13,45,39,30,7,41,25
624,26,7,35,1,19,27,16
625,7,3,6,39,21,20,13
626,14,33,26,43,13,40,15
627,22,9,45,31,2,25,12
628,42,7,1,12,23,15,11
629,44,38,31,43,19,28,1
630,21,17,8,27,31,24,15
631,23,34,1,4,2,31,8
632,18,35,21,15,32,44,6
633,41,39,20,19,9,12,13
634,27,11,12,20,4,10,38
635,13,11,33,26,29,25,32
636,7,6,16,15,31,20,26
637,37,38,22,3,44,16,23
638,7,22,18,31,34,24,6
639,22,32,15,25,23,6,40
640,15,26,21,14,18,35,23
641,43,18,21,11,36,37,12
642,45,8,18,17,24,39,32
643,40,15,32,24,33,31,13
644,17,5,23,13,36,28,8
645,1,4,16,26,40,41,31
646,9,43,24,45,41,2,30
647,23,16,21,24,30,5,29
648,28,37,13,43,19,38,4
649,42,3,33,41,22,21,20
650,41,3,31,4,11,7,35
651,12,26,29,11,16,44,18
652,13,15,41,3,44,40,20
653,26,6,38,27,5,39,1
654,21,31,16,26,36,43,6
655,7,37,40,44,39,38,18
656,16,31,14,3,7,40,39
657,43,40,19,14,39,10,23
658,36,32,25,8,19,28,37
659,7,29,27,19,42,18,45
660,23,39,4,9,33,44,14
661,3,20,38,27,12,2,40
662,9,6,37,11,5,15,26
663,3,38,42,5,19,8,20
664,20,36,44,10,33,41,5
665,44,5,6,38,17,11,13
666,28,6,11,2,17,4,16
667,37,43,15,42,17,25,13
668,15,14,24,32,27,12,3
669,29,7,38,33,20,8,9
670,40,26,27,41,11,18,25
671,35,10,13,7,31,9,24
672,28,31,45,21,8,36,43
673,44,17,7,29,10,33,5
674,9,10,31,14,25,27,11
675,1,45,11,18,15,8,7
676,39,17,45,1,34,8,27
677,36,41,24,12,15,44,42
678,4,5,25,12,37,6,45
679,3,26,5,7,14,34,35
680,4,29,42,19,32,10,30
681,27,21,44,43,24,29,7
682,35,27,17,23,43,38,2
683,20,27,28,13,6,40,15
684,11,39,17,15,25,1,40
685,12,28,40,38,6,7,18
686,7,15,43,12,25,24,13
687,13,42,1,8,28,10,45
688,5,35,22,34,23,15,2
689,36,17,19,38,30,7,34
690,34,38,25,24,33,39,43
691,45,15,35,43,27,33,16
692,15,11,36,32,14,3,44
693,34,28,6,42,11,1,30
694,33,7,43,15,20,25,12
695,34,38,26,4,18,33,14
696,1,38,16,34,18,7,21
697,2,8,11,39,33,5,31
698,21,33,3,37,11,13,18
699,5,21,8,16,29,4,3
700,29,11,30,23,28,44,13
701,14,36,38,16,10,3,35
702,26,24,16,3,13,29,9
703,44,31,10,33,41,28,21
704,4,33,1,8,42,23,45
705,45,28,22,17,6,1,23
706,4,10,28,30,3,6,37
707,24,12,19,44,2,39,35
708,19,16,2,45,34,10,1
709,39,44,30,18,36,10,32
710,4,24,33,3,9,25,10
711,24,37,11,35,15,45,42
712,31,33,30,17,45,20,19
713,23,19,2,5,18,15,44
714,7,22,37,1,33,40,20
715,27,33,7,44,2,41,10
716,13,29,2,6,30,16,21
